ID	Description
GO:0010574	regulation of vascular endothelial growth factor production
GO:0032814	regulation of natural killer cell activation
GO:0033028	myeloid cell apoptotic process
GO:0001779	natural killer cell differentiation
GO:0002407	dendritic cell chemotaxis
GO:0010893	positive regulation of steroid biosynthetic process
GO:0046697	decidualization
GO:0072540	T-helper 17 cell lineage commitment
GO:1903035	negative regulation of response to wounding
GO:0014015	positive regulation of gliogenesis
GO:0061045	negative regulation of wound healing
GO:0030216	keratinocyte differentiation
GO:2000515	negative regulation of CD4-positive, alpha-beta T cell activation
GO:0043588	skin development
GO:0015908	fatty acid transport
GO:1905954	positive regulation of lipid localization
GO:0090287	regulation of cellular response to growth factor stimulus
GO:0001706	endoderm formation
GO:2001238	positive regulation of extrinsic apoptotic signaling pathway
GO:0002577	regulation of antigen processing and presentation
GO:0002922	positive regulation of humoral immune response
GO:0035743	CD4-positive, alpha-beta T cell cytokine production
GO:0045623	negative regulation of T-helper cell differentiation
GO:0001787	natural killer cell proliferation
GO:0032306	regulation of prostaglandin secretion
GO:0098883	synapse pruning
GO:0046425	regulation of receptor signaling pathway via JAK-STAT
GO:0048246	macrophage chemotaxis
GO:1903317	regulation of protein maturation
GO:0051384	response to glucocorticoid
GO:0042100	B cell proliferation
GO:0035872	nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway
GO:0010575	positive regulation of vascular endothelial growth factor production
GO:0043373	CD4-positive, alpha-beta T cell lineage commitment
GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process
GO:0070527	platelet aggregation
GO:0002279	mast cell activation involved in immune response
GO:0038066	p38MAPK cascade
GO:0070227	lymphocyte apoptotic process
GO:0002637	regulation of immunoglobulin production
GO:0045806	negative regulation of endocytosis
GO:0002317	plasma cell differentiation
GO:0002604	regulation of dendritic cell antigen processing and presentation
GO:0006568	tryptophan metabolic process
GO:0032627	interleukin-23 production
GO:0032667	regulation of interleukin-23 production
GO:0038063	collagen-activated tyrosine kinase receptor signaling pathway
GO:0061299	retina vasculature morphogenesis in camera-type eye
GO:0071492	cellular response to UV-A
GO:0009410	response to xenobiotic stimulus
GO:0014823	response to activity
GO:0032693	negative regulation of interleukin-10 production
GO:0032816	positive regulation of natural killer cell activation
GO:0060143	positive regulation of syncytium formation by plasma membrane fusion
GO:0071800	podosome assembly
GO:0032370	positive regulation of lipid transport
GO:0061515	myeloid cell development
GO:0090288	negative regulation of cellular response to growth factor stimulus
GO:0033138	positive regulation of peptidyl-serine phosphorylation
GO:0050819	negative regulation of coagulation
GO:0052372	modulation by symbiont of entry into host
GO:0006026	aminoglycan catabolic process
GO:0045671	negative regulation of osteoclast differentiation
GO:0006816	calcium ion transport
GO:0070723	response to cholesterol
GO:2000319	regulation of T-helper 17 cell differentiation
GO:0048545	response to steroid hormone
GO:0032604	granulocyte macrophage colony-stimulating factor production
GO:0032645	regulation of granulocyte macrophage colony-stimulating factor production
GO:0061760	antifungal innate immune response
GO:0034767	positive regulation of monoatomic ion transmembrane transport
GO:2001056	positive regulation of cysteine-type endopeptidase activity
GO:0043269	regulation of monoatomic ion transport
GO:0001912	positive regulation of leukocyte mediated cytotoxicity
GO:0043903	regulation of biological process involved in symbiotic interaction
GO:0045744	negative regulation of G protein-coupled receptor signaling pathway
GO:0007492	endoderm development
GO:0043536	positive regulation of blood vessel endothelial cell migration
GO:0031295	T cell costimulation
GO:0030856	regulation of epithelial cell differentiation
GO:2001242	regulation of intrinsic apoptotic signaling pathway
GO:0071902	positive regulation of protein serine/threonine kinase activity
GO:0002363	alpha-beta T cell lineage commitment
GO:0030212	hyaluronan metabolic process
GO:0034121	regulation of toll-like receptor signaling pathway
GO:0045730	respiratory burst
GO:1902624	positive regulation of neutrophil migration
GO:0002433	immune response-regulating cell surface receptor signaling pathway involved in phagocytosis
GO:0038096	Fc-gamma receptor signaling pathway involved in phagocytosis
GO:0050999	regulation of nitric-oxide synthase activity
GO:0060252	positive regulation of glial cell proliferation
GO:0010950	positive regulation of endopeptidase activity
GO:0001773	myeloid dendritic cell activation
GO:0003416	endochondral bone growth
GO:0045672	positive regulation of osteoclast differentiation
GO:1903055	positive regulation of extracellular matrix organization
GO:0030514	negative regulation of BMP signaling pathway
GO:2000107	negative regulation of leukocyte apoptotic process
GO:0006040	amino sugar metabolic process
GO:1902991	regulation of amyloid precursor protein catabolic process
GO:0031294	lymphocyte costimulation
GO:0050851	antigen receptor-mediated signaling pathway
GO:0007405	neuroblast proliferation
GO:0032868	response to insulin
GO:0034762	regulation of transmembrane transport
GO:0001763	morphogenesis of a branching structure
GO:0033619	membrane protein proteolysis
GO:0010952	positive regulation of peptidase activity
GO:0032817	regulation of natural killer cell proliferation
GO:0034135	regulation of toll-like receptor 2 signaling pathway
GO:0045625	regulation of T-helper 1 cell differentiation
GO:0036005	response to macrophage colony-stimulating factor
GO:0070230	positive regulation of lymphocyte apoptotic process
GO:0001704	formation of primary germ layer
GO:0001893	maternal placenta development
GO:0045920	negative regulation of exocytosis
GO:0000768	syncytium formation by plasma membrane fusion
GO:0048010	vascular endothelial growth factor receptor signaling pathway
GO:0140253	cell-cell fusion
GO:0019915	lipid storage
GO:0031329	regulation of cellular catabolic process
GO:0030879	mammary gland development
GO:0061041	regulation of wound healing
GO:0002686	negative regulation of leukocyte migration
GO:0010563	negative regulation of phosphorus metabolic process
GO:0045936	negative regulation of phosphate metabolic process
GO:0008277	regulation of G protein-coupled receptor signaling pathway
GO:0062208	positive regulation of pattern recognition receptor signaling pathway
GO:0002295	T-helper cell lineage commitment
GO:0045940	positive regulation of steroid metabolic process
GO:0097305	response to alcohol
GO:0010876	lipid localization
GO:0007188	adenylate cyclase-modulating G protein-coupled receptor signaling pathway
GO:0009074	aromatic amino acid family catabolic process
GO:0032891	negative regulation of organic acid transport
GO:0043371	negative regulation of CD4-positive, alpha-beta T cell differentiation
GO:0045591	positive regulation of regulatory T cell differentiation
GO:0090050	positive regulation of cell migration involved in sprouting angiogenesis
GO:1901623	regulation of lymphocyte chemotaxis
GO:2000193	positive regulation of fatty acid transport
GO:2001243	negative regulation of intrinsic apoptotic signaling pathway
GO:0046683	response to organophosphorus
GO:0014855	striated muscle cell proliferation
GO:0045055	regulated exocytosis
GO:0001890	placenta development
GO:0060135	maternal process involved in female pregnancy
GO:0030522	intracellular receptor signaling pathway
GO:0002062	chondrocyte differentiation
GO:0031667	response to nutrient levels
GO:0043369	CD4-positive or CD8-positive, alpha-beta T cell lineage commitment
GO:0140353	lipid export from cell
GO:1902692	regulation of neuroblast proliferation
GO:0030888	regulation of B cell proliferation
GO:0070301	cellular response to hydrogen peroxide
GO:0001933	negative regulation of protein phosphorylation
GO:0032570	response to progesterone
GO:0141084	inflammasome-mediated signaling pathway
GO:1905521	regulation of macrophage migration
GO:0046849	bone remodeling
GO:0002260	lymphocyte homeostasis
GO:0060419	heart growth
GO:0042326	negative regulation of phosphorylation
GO:0030889	negative regulation of B cell proliferation
GO:0031643	positive regulation of myelination
GO:0034112	positive regulation of homotypic cell-cell adhesion
GO:0051354	negative regulation of oxidoreductase activity
GO:0051917	regulation of fibrinolysis
GO:2000318	positive regulation of T-helper 17 type immune response
GO:0045620	negative regulation of lymphocyte differentiation
GO:0002063	chondrocyte development
GO:0015732	prostaglandin transport
GO:0050654	chondroitin sulfate proteoglycan metabolic process
GO:0031100	animal organ regeneration
GO:0045453	bone resorption
GO:0045598	regulation of fat cell differentiation
GO:0016485	protein processing
GO:0035458	cellular response to interferon-beta
GO:1901223	negative regulation of non-canonical NF-kappaB signal transduction
GO:1903306	negative regulation of regulated secretory pathway
GO:0034103	regulation of tissue remodeling
GO:0002638	negative regulation of immunoglobulin production
GO:0010572	positive regulation of platelet activation
GO:0032725	positive regulation of granulocyte macrophage colony-stimulating factor production
GO:0034145	positive regulation of toll-like receptor 4 signaling pathway
GO:0042362	fat-soluble vitamin biosynthetic process
GO:0061043	regulation of vascular wound healing
GO:0070424	regulation of nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway
GO:0070672	response to interleukin-15
GO:0071639	positive regulation of monocyte chemotactic protein-1 production
GO:0071888	macrophage apoptotic process
GO:1901731	positive regulation of platelet aggregation
GO:0002478	antigen processing and presentation of exogenous peptide antigen
GO:0010712	regulation of collagen metabolic process
GO:0001914	regulation of T cell mediated cytotoxicity
GO:0006636	unsaturated fatty acid biosynthetic process
GO:0097028	dendritic cell differentiation
GO:0031400	negative regulation of protein modification process
GO:0002931	response to ischemia
GO:0060420	regulation of heart growth
GO:0070231	T cell apoptotic process
GO:0015718	monocarboxylic acid transport
GO:0071453	cellular response to oxygen levels
GO:0033627	cell adhesion mediated by integrin
GO:0055074	calcium ion homeostasis
GO:0050818	regulation of coagulation
GO:1903305	regulation of regulated secretory pathway
GO:0010586	miRNA metabolic process
GO:0002313	mature B cell differentiation involved in immune response
GO:0032607	interferon-alpha production
GO:0032647	regulation of interferon-alpha production
GO:0036314	response to sterol
GO:0071404	cellular response to low-density lipoprotein particle stimulus
GO:0098868	bone growth
GO:0043535	regulation of blood vessel endothelial cell migration
GO:0006979	response to oxidative stress
GO:0050769	positive regulation of neurogenesis
GO:1901136	carbohydrate derivative catabolic process
GO:0006949	syncytium formation
GO:0050918	positive chemotaxis
GO:0035821	modulation of process of another organism
GO:1903236	regulation of leukocyte tethering or rolling
GO:0050853	B cell receptor signaling pathway
GO:0030204	chondroitin sulfate metabolic process
GO:0043302	positive regulation of leukocyte degranulation
GO:0045649	regulation of macrophage differentiation
GO:0072677	eosinophil migration
GO:0034614	cellular response to reactive oxygen species
GO:0019216	regulation of lipid metabolic process
GO:0001570	vasculogenesis
GO:0032368	regulation of lipid transport
GO:0050871	positive regulation of B cell activation
GO:0019884	antigen processing and presentation of exogenous antigen
GO:0070849	response to epidermal growth factor
GO:0055094	response to lipoprotein particle
GO:0032088	negative regulation of NF-kappaB transcription factor activity
GO:0051962	positive regulation of nervous system development
GO:0001886	endothelial cell morphogenesis
GO:0002467	germinal center formation
GO:0030213	hyaluronan biosynthetic process
GO:0031665	negative regulation of lipopolysaccharide-mediated signaling pathway
GO:0032308	positive regulation of prostaglandin secretion
GO:0032823	regulation of natural killer cell differentiation
GO:0045019	negative regulation of nitric oxide biosynthetic process
GO:0070234	positive regulation of T cell apoptotic process
GO:0071801	regulation of podosome assembly
GO:1904406	negative regulation of nitric oxide metabolic process
GO:0032350	regulation of hormone metabolic process
GO:0032728	positive regulation of interferon-beta production
GO:0050691	regulation of defense response to virus by host
GO:0070266	necroptotic process
GO:0070670	response to interleukin-4
GO:1903670	regulation of sprouting angiogenesis
GO:0051960	regulation of nervous system development
GO:0030101	natural killer cell activation
GO:0036294	cellular response to decreased oxygen levels
GO:0002244	hematopoietic progenitor cell differentiation
GO:0007266	Rho protein signal transduction
GO:0048260	positive regulation of receptor-mediated endocytosis
GO:0071385	cellular response to glucocorticoid stimulus
GO:0034340	response to type I interferon
GO:0140962	multicellular organismal-level chemical homeostasis
GO:0009435	NAD biosynthetic process
GO:0010667	negative regulation of cardiac muscle cell apoptotic process
GO:0046942	carboxylic acid transport
GO:0002520	immune system development
GO:0031334	positive regulation of protein-containing complex assembly
GO:0032305	positive regulation of icosanoid secretion
GO:0055093	response to hyperoxia
GO:1904894	positive regulation of receptor signaling pathway via STAT
GO:1905953	negative regulation of lipid localization
GO:0031589	cell-substrate adhesion
GO:0015849	organic acid transport
GO:0042692	muscle cell differentiation
GO:0001938	positive regulation of endothelial cell proliferation
GO:2000628	regulation of miRNA metabolic process
GO:0032965	regulation of collagen biosynthetic process
GO:0038084	vascular endothelial growth factor signaling pathway
GO:0043277	apoptotic cell clearance
GO:0043407	negative regulation of MAP kinase activity
GO:0090092	regulation of transmembrane receptor protein serine/threonine kinase signaling pathway
GO:0042987	amyloid precursor protein catabolic process
GO:1904427	positive regulation of calcium ion transmembrane transport
GO:0033135	regulation of peptidyl-serine phosphorylation
GO:0048002	antigen processing and presentation of peptide antigen
GO:0032970	regulation of actin filament-based process
GO:0071456	cellular response to hypoxia
GO:2000404	regulation of T cell migration
GO:1904064	positive regulation of cation transmembrane transport
GO:0048732	gland development
GO:0150063	visual system development
GO:0001516	prostaglandin biosynthetic process
GO:0006027	glycosaminoglycan catabolic process
GO:0042730	fibrinolysis
GO:0046457	prostanoid biosynthetic process
GO:2000273	positive regulation of signaling receptor activity
GO:0034109	homotypic cell-cell adhesion
GO:0001961	positive regulation of cytokine-mediated signaling pathway
GO:0002291	T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell
GO:0032688	negative regulation of interferon-beta production
GO:0032700	negative regulation of interleukin-17 production
GO:0061430	bone trabecula morphogenesis
GO:0072393	microtubule anchoring at microtubule organizing center
GO:0097531	mast cell migration
GO:0150078	positive regulation of neuroinflammatory response
GO:0051281	positive regulation of release of sequestered calcium ion into cytosol
GO:0071364	cellular response to epidermal growth factor stimulus
GO:2000403	positive regulation of lymphocyte migration
GO:0045058	T cell selection
GO:0051145	smooth muscle cell differentiation
GO:0071384	cellular response to corticosteroid stimulus
GO:1905330	regulation of morphogenesis of an epithelium
GO:2000630	positive regulation of miRNA metabolic process
GO:0014074	response to purine-containing compound
GO:0045589	regulation of regulatory T cell differentiation
GO:0007254	JNK cascade
GO:0008544	epidermis development
GO:0001780	neutrophil homeostasis
GO:0002888	positive regulation of myeloid leukocyte mediated immunity
GO:0045342	MHC class II biosynthetic process
GO:0046426	negative regulation of receptor signaling pathway via JAK-STAT
GO:0071359	cellular response to dsRNA
GO:0098760	response to interleukin-7
GO:0006606	protein import into nucleus
GO:0071357	cellular response to type I interferon
GO:0043029	T cell homeostasis
GO:0010660	regulation of muscle cell apoptotic process
GO:0042982	amyloid precursor protein metabolic process
GO:0055017	cardiac muscle tissue growth
GO:0045669	positive regulation of osteoblast differentiation
GO:0031331	positive regulation of cellular catabolic process
GO:0002360	T cell lineage commitment
GO:0032480	negative regulation of type I interferon production
GO:0046777	protein autophosphorylation
GO:0007015	actin filament organization
GO:0019359	nicotinamide nucleotide biosynthetic process
GO:0019363	pyridine nucleotide biosynthetic process
GO:0031664	regulation of lipopolysaccharide-mediated signaling pathway
GO:0032691	negative regulation of interleukin-1 beta production
GO:0034250	positive regulation of amide metabolic process
GO:0046639	negative regulation of alpha-beta T cell differentiation
GO:0060586	multicellular organismal-level iron ion homeostasis
GO:0046328	regulation of JNK cascade
GO:0043534	blood vessel endothelial cell migration
GO:0001569	branching involved in blood vessel morphogenesis
GO:1902003	regulation of amyloid-beta formation
GO:0023061	signal release
GO:0030195	negative regulation of blood coagulation
GO:0006874	intracellular calcium ion homeostasis
GO:0050767	regulation of neurogenesis
GO:0010803	regulation of tumor necrosis factor-mediated signaling pathway
GO:0050688	regulation of defense response to virus
GO:0060350	endochondral bone morphogenesis
GO:0070059	intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress
GO:0141091	transforming growth factor beta receptor superfamily signaling pathway
GO:0048880	sensory system development
GO:0001101	response to acid chemical
GO:0007178	cell surface receptor protein serine/threonine kinase signaling pathway
GO:0036303	lymph vessel morphogenesis
GO:0061042	vascular wound healing
GO:0006887	exocytosis
GO:0002524	hypersensitivity
GO:0002679	respiratory burst involved in defense response
GO:0002756	MyD88-independent toll-like receptor signaling pathway
GO:0010958	regulation of amino acid import across plasma membrane
GO:0030214	hyaluronan catabolic process
GO:0032352	positive regulation of hormone metabolic process
GO:0045348	positive regulation of MHC class II biosynthetic process
GO:1900102	negative regulation of endoplasmic reticulum unfolded protein response
GO:1903789	regulation of amino acid transmembrane transport
GO:0045124	regulation of bone resorption
GO:0070167	regulation of biomineral tissue development
GO:0007369	gastrulation
GO:0032418	lysosome localization
GO:0010959	regulation of metal ion transport
GO:0002040	sprouting angiogenesis
GO:0043368	positive T cell selection
GO:0046850	regulation of bone remodeling
GO:0097300	programmed necrotic cell death
GO:1900047	negative regulation of hemostasis
GO:0071353	cellular response to interleukin-4
GO:0071711	basement membrane organization
GO:0010664	negative regulation of striated muscle cell apoptotic process
GO:0014741	negative regulation of muscle hypertrophy
GO:1900101	regulation of endoplasmic reticulum unfolded protein response
GO:0060541	respiratory system development
GO:0061138	morphogenesis of a branching epithelium
GO:0042476	odontogenesis
GO:0051170	import into nucleus
GO:0043406	positive regulation of MAP kinase activity
GO:1990849	vacuolar localization
GO:0002536	respiratory burst involved in inflammatory response
GO:0033004	negative regulation of mast cell activation
GO:0035666	TRIF-dependent toll-like receptor signaling pathway
GO:0036446	myofibroblast differentiation
GO:0042368	vitamin D biosynthetic process
GO:0051709	regulation of killing of cells of another organism
GO:0062042	regulation of cardiac epithelial to mesenchymal transition
GO:0071803	positive regulation of podosome assembly
GO:2000659	regulation of interleukin-1-mediated signaling pathway
GO:0006693	prostaglandin metabolic process
GO:0007520	myoblast fusion
GO:0010656	negative regulation of muscle cell apoptotic process
GO:0032892	positive regulation of organic acid transport
GO:0043330	response to exogenous dsRNA
GO:0071548	response to dexamethasone
GO:0051402	neuron apoptotic process
GO:0001836	release of cytochrome c from mitochondria
GO:0001913	T cell mediated cytotoxicity
GO:0034599	cellular response to oxidative stress
GO:0050848	regulation of calcium-mediated signaling
GO:0010888	negative regulation of lipid storage
GO:0034249	negative regulation of amide metabolic process
GO:0046629	gamma-delta T cell activation
GO:1901071	glucosamine-containing compound metabolic process
GO:0030324	lung development
GO:0033559	unsaturated fatty acid metabolic process
GO:0044546	NLRP3 inflammasome complex assembly
GO:0006665	sphingolipid metabolic process
GO:0001945	lymph vessel development
GO:0031952	regulation of protein autophosphorylation
GO:0033032	regulation of myeloid cell apoptotic process
GO:0035886	vascular associated smooth muscle cell differentiation
GO:0072012	glomerulus vasculature development
GO:1903901	negative regulation of viral life cycle
GO:0007252	I-kappaB phosphorylation
GO:0019370	leukotriene biosynthetic process
GO:0045779	negative regulation of bone resorption
GO:0051044	positive regulation of membrane protein ectodomain proteolysis
GO:0060263	regulation of respiratory burst
GO:1903978	regulation of microglial cell activation
GO:0071229	cellular response to acid chemical
GO:0007179	transforming growth factor beta receptor signaling pathway
GO:0045834	positive regulation of lipid metabolic process
GO:0042552	myelination
GO:0002455	humoral immune response mediated by circulating immunoglobulin
GO:0006692	prostanoid metabolic process
GO:0060443	mammary gland morphogenesis
GO:0009913	epidermal cell differentiation
GO:0051259	protein complex oligomerization
GO:0055021	regulation of cardiac muscle tissue growth
GO:0010594	regulation of endothelial cell migration
GO:0017157	regulation of exocytosis
GO:0001654	eye development
GO:0002052	positive regulation of neuroblast proliferation
GO:0045066	regulatory T cell differentiation
GO:0060391	positive regulation of SMAD protein signal transduction
GO:0071402	cellular response to lipoprotein particle stimulus
GO:0141085	regulation of inflammasome-mediated signaling pathway
GO:1900744	regulation of p38MAPK cascade
GO:0060349	bone morphogenesis
GO:0032481	positive regulation of type I interferon production
GO:0039531	regulation of cytoplasmic pattern recognition receptor signaling pathway
GO:0071375	cellular response to peptide hormone stimulus
GO:0042445	hormone metabolic process
GO:0032770	positive regulation of monooxygenase activity
GO:0042537	benzene-containing compound metabolic process
GO:1904893	negative regulation of receptor signaling pathway via STAT
GO:0043603	amide metabolic process
GO:0060537	muscle tissue development
GO:0014706	striated muscle tissue development
GO:0007272	ensheathment of neurons
GO:0008366	axon ensheathment
GO:0002504	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II
GO:0072525	pyridine-containing compound biosynthetic process
GO:0097421	liver regeneration
GO:0010657	muscle cell apoptotic process
GO:0046596	regulation of viral entry into host cell
GO:0007566	embryo implantation
GO:0010596	negative regulation of endothelial cell migration
GO:0031638	zymogen activation
GO:0140374	antiviral innate immune response
GO:0030323	respiratory tube development
GO:0030278	regulation of ossification
GO:0034765	regulation of monoatomic ion transmembrane transport
GO:0050680	negative regulation of epithelial cell proliferation
GO:0002645	positive regulation of tolerance induction
GO:0009111	vitamin catabolic process
GO:0032754	positive regulation of interleukin-5 production
GO:0033089	positive regulation of T cell differentiation in thymus
GO:0035723	interleukin-15-mediated signaling pathway
GO:0042363	fat-soluble vitamin catabolic process
GO:0043031	negative regulation of macrophage activation
GO:0051798	positive regulation of hair follicle development
GO:0060397	growth hormone receptor signaling pathway via JAK-STAT
GO:0070669	response to interleukin-2
GO:0070673	response to interleukin-18
GO:0071350	cellular response to interleukin-15
GO:0072110	glomerular mesangial cell proliferation
GO:0150079	negative regulation of neuroinflammatory response
GO:2001204	regulation of osteoclast development
GO:0033033	negative regulation of myeloid cell apoptotic process
GO:0045579	positive regulation of B cell differentiation
GO:0071605	monocyte chemotactic protein-1 production
GO:0071637	regulation of monocyte chemotactic protein-1 production
GO:1901550	regulation of endothelial cell development
GO:1903140	regulation of establishment of endothelial barrier
GO:0060337	type I interferon-mediated signaling pathway
GO:1905897	regulation of response to endoplasmic reticulum stress
GO:0010665	regulation of cardiac muscle cell apoptotic process
GO:0140632	canonical inflammasome complex assembly
GO:0006956	complement activation
GO:0031102	neuron projection regeneration
GO:1902895	positive regulation of miRNA transcription
GO:0002639	positive regulation of immunoglobulin production
GO:0010332	response to gamma radiation
GO:0061383	trabecula morphogenesis
GO:1903532	positive regulation of secretion by cell
GO:0072659	protein localization to plasma membrane
GO:0061437	renal system vasculature development
GO:0061440	kidney vasculature development
GO:0090101	negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway
GO:0007265	Ras protein signal transduction
GO:0002070	epithelial cell maturation
GO:0009110	vitamin biosynthetic process
GO:0009651	response to salt stress
GO:0010714	positive regulation of collagen metabolic process
GO:0014856	skeletal muscle cell proliferation
GO:0032727	positive regulation of interferon-alpha production
GO:0032967	positive regulation of collagen biosynthetic process
GO:0042430	indole-containing compound metabolic process
GO:0046597	negative regulation of viral entry into host cell
GO:0051882	mitochondrial depolarization
GO:0070233	negative regulation of T cell apoptotic process
GO:0090023	positive regulation of neutrophil chemotaxis
GO:0048678	response to axon injury
GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway
GO:0060840	artery development
GO:0002009	morphogenesis of an epithelium
GO:0046513	ceramide biosynthetic process
GO:0051881	regulation of mitochondrial membrane potential
GO:1903573	negative regulation of response to endoplasmic reticulum stress
GO:0043523	regulation of neuron apoptotic process
GO:0048008	platelet-derived growth factor receptor signaling pathway
GO:0051209	release of sequestered calcium ion into cytosol
GO:0030500	regulation of bone mineralization
GO:0072091	regulation of stem cell proliferation
GO:0051047	positive regulation of secretion
GO:1903829	positive regulation of protein localization
GO:0035904	aorta development
GO:0002643	regulation of tolerance induction
GO:0002923	regulation of humoral immune response mediated by circulating immunoglobulin
GO:0031954	positive regulation of protein autophosphorylation
GO:0043011	myeloid dendritic cell differentiation
GO:0043129	surfactant homeostasis
GO:0046851	negative regulation of bone remodeling
GO:0048670	regulation of collateral sprouting
GO:0051132	NK T cell activation
GO:0070206	protein trimerization
GO:0140131	positive regulation of lymphocyte chemotaxis
GO:1902992	negative regulation of amyloid precursor protein catabolic process
GO:1903587	regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis
GO:0060351	cartilage development involved in endochondral bone morphogenesis
GO:0071634	regulation of transforming growth factor beta production
GO:0071875	adrenergic receptor signaling pathway
GO:0051283	negative regulation of sequestering of calcium ion
GO:0032411	positive regulation of transporter activity
GO:1902893	regulation of miRNA transcription
GO:0043616	keratinocyte proliferation
GO:0030510	regulation of BMP signaling pathway
GO:0010936	negative regulation of macrophage cytokine production
GO:0030656	regulation of vitamin metabolic process
GO:0034144	negative regulation of toll-like receptor 4 signaling pathway
GO:0042492	gamma-delta T cell differentiation
GO:0051918	negative regulation of fibrinolysis
GO:0070278	extracellular matrix constituent secretion
GO:0070671	response to interleukin-12
GO:0071394	cellular response to testosterone stimulus
GO:0097067	cellular response to thyroid hormone stimulus
GO:0097084	vascular associated smooth muscle cell development
GO:0097707	ferroptosis
GO:2001198	regulation of dendritic cell differentiation
GO:0006929	substrate-dependent cell migration
GO:0035994	response to muscle stretch
GO:0036037	CD8-positive, alpha-beta T cell activation
GO:0036296	response to increased oxygen levels
GO:0042531	positive regulation of tyrosine phosphorylation of STAT protein
GO:0060045	positive regulation of cardiac muscle cell proliferation
GO:0070168	negative regulation of biomineral tissue development
GO:1900745	positive regulation of p38MAPK cascade
GO:0001894	tissue homeostasis
GO:0060249	anatomical structure homeostasis
GO:0007595	lactation
GO:0030851	granulocyte differentiation
GO:0042307	positive regulation of protein import into nucleus
GO:0050922	negative regulation of chemotaxis
GO:0090049	regulation of cell migration involved in sprouting angiogenesis
GO:0035987	endodermal cell differentiation
GO:0042311	vasodilation
GO:0045581	negative regulation of T cell differentiation
GO:0060038	cardiac muscle cell proliferation
GO:0051282	regulation of sequestering of calcium ion
GO:0097237	cellular response to toxic substance
GO:0051260	protein homooligomerization
GO:0045600	positive regulation of fat cell differentiation
GO:0030667	secretory granule membrane
GO:0070820	tertiary granule
GO:0062023	collagen-containing extracellular matrix
GO:0009897	external side of plasma membrane
GO:0042581	specific granule
GO:0070821	tertiary granule membrane
GO:0101002	ficolin-1-rich granule
GO:0035579	specific granule membrane
GO:0030139	endocytic vesicle
GO:1904724	tertiary granule lumen
GO:0101003	ficolin-1-rich granule membrane
GO:0060205	cytoplasmic vesicle lumen
GO:0031983	vesicle lumen
GO:0034774	secretory granule lumen
GO:0098857	membrane microdomain
GO:0005581	collagen trimer
GO:0005788	endoplasmic reticulum lumen
GO:0045121	membrane raft
GO:0005604	basement membrane
GO:0045335	phagocytic vesicle
GO:0001891	phagocytic cup
GO:0098644	complex of collagen trimers
GO:0035580	specific granule lumen
GO:1904813	ficolin-1-rich granule lumen
GO:0031091	platelet alpha granule
GO:0061702	canonical inflammasome complex
GO:1904090	peptidase inhibitor complex
GO:0005775	vacuolar lumen
GO:0043202	lysosomal lumen
GO:0031093	platelet alpha granule lumen
GO:0005767	secondary lysosome
GO:0005583	fibrillar collagen trimer
GO:0098643	banded collagen fibril
GO:0043235	receptor complex
GO:0030666	endocytic vesicle membrane
GO:0098636	protein complex involved in cell adhesion
GO:0031901	early endosome membrane
GO:0030055	cell-substrate junction
GO:0044853	plasma membrane raft
GO:0005925	focal adhesion
GO:0002102	podosome
GO:0098637	protein complex involved in cell-matrix adhesion
GO:0005766	primary lysosome
GO:0042582	azurophil granule
GO:0030670	phagocytic vesicle membrane
GO:0005765	lysosomal membrane
GO:0098852	lytic vacuole membrane
GO:0001931	uropod
GO:0071682	endocytic vesicle lumen
GO:0055037	recycling endosome
GO:0005901	caveola
GO:0031258	lamellipodium membrane
GO:0031254	cell trailing edge
GO:0001726	ruffle
GO:0048787	presynaptic active zone membrane
GO:0015629	actin cytoskeleton
GO:0005641	nuclear envelope lumen
GO:0016234	inclusion body
GO:0035577	azurophil granule membrane
GO:0005769	early endosome
GO:0140375	immune receptor activity
GO:0005126	cytokine receptor binding
GO:0019955	cytokine binding
GO:0004896	cytokine receptor activity
GO:0005201	extracellular matrix structural constituent
GO:0005125	cytokine activity
GO:0030546	signaling receptor activator activity
GO:0048018	receptor ligand activity
GO:0030545	signaling receptor regulator activity
GO:0038187	pattern recognition receptor activity
GO:0019957	C-C chemokine binding
GO:0019956	chemokine binding
GO:0005539	glycosaminoglycan binding
GO:0042379	chemokine receptor binding
GO:0030020	extracellular matrix structural constituent conferring tensile strength
GO:0001664	G protein-coupled receptor binding
GO:0008009	chemokine activity
GO:0019838	growth factor binding
GO:0016493	C-C chemokine receptor activity
GO:0005178	integrin binding
GO:0061809	NAD+ nucleotidase, cyclic ADP-ribose generating
GO:0045236	CXCR chemokine receptor binding
GO:0001637	G protein-coupled chemoattractant receptor activity
GO:0004950	chemokine receptor activity
GO:0030246	carbohydrate binding
GO:0001530	lipopolysaccharide binding
GO:0061134	peptidase regulator activity
GO:0001968	fibronectin binding
GO:0070851	growth factor receptor binding
GO:0002020	protease binding
